no	plot	block	date1	date2	date3	replanted	species	mycorrhiza	substrate	soilType	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	diameter1	diameter2	diameter3	height1	height2	height3	bagMassStem	stemMassTotal	bagMassRestleaf	restleafMassTotal	leaf1Mass	leaf2Mass	leaf3Mass	leaf1Area	leaf2Area	leaf3Area	bagMassRestroot	restrootMassTotal	rootLength	bagMassAbsorptivefineroot	absorptivefinerootMassTotal	bagMassTransportfineroot	transportfinerootMassTotal	comment	threshold
74	DZ5Anoac	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_5	poor	5	Acid	18	18.7	21.6	10.9	9.1	10.8	12.8	14.7	16.1	99	104	110	 9.7   	 51.4   	 9.7   	 30.7   	0.8059	0.75	0.79	116.6	101.8	109.1	22.0	103.8	813	3.4230	3.681	3.4230	3.738	na	80
75	DZ5Tmyac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_5	poor	5	Acid	16.7	15.1	15.7	7.5	5	8.4	14.4	22.4	22.8	77	92	104	 9.7   	 68.4   	 9.7   	 25.5   	0.1682	0.17	0.15	30.4	31.0	28.8	22.0	118.6	2015	3.4230	3.836	3.4230	4.151	na	80
76	DZ5Tnoac	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_5	poor	5	Acid	13.4	16.2	14.3	7.9	10.4	8.8	15.2	20.7	21.8	96	96	96	 9.7   	 78.1   	 9.7   	 20.8   	0.1385	0.11	0.11	26.8	20.8	21.3	22.0	105.2	897	3.4230	3.570	3.4230	3.756	balls	80
77	EZ5Amyac	E	2019-03-20	2019-09-20	2020-06-29	1	Acer	Mycorrhiza	substrate_5	poor	5	Acid	22.8	18.3	20.8	12.9	7.8	9.2	11.6	12.8	13.3	104.5	128	134	 31.5   	 70.2   	 9.7   	 24.0   	0.3857	0.64	0.33	72.9	112.0	60.4	22.0	71.8	1668	3.4230	3.763	3.4230	3.585	turbid	80
78	EZ5Anoac	E	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_5	poor	5	Acid	22.2	17.4	23.3	6.8	7.1	7.3	7.9	16.1	17.2	109.5	164	169	 31.5   	 98.7   	 9.7   	 28.2   	0.7622	0.93	0.63	119.8	133.0	100.1	22.0	90.0	1160	3.4230	3.896	3.4230	3.781	balls	80
79	EZ5Tmyac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Mycorrhiza	substrate_5	poor	5	Acid	26.2	21.9	24	6.9	7.4	4.6	13.4	19.5	20.9	57.5	117	126	 9.7   	 67.3   	 9.7   	 23.4   	0.1198	0.11	0.09	29.5	23.6	22.2	22.0	96.2	858	3.4230	3.614	3.4230	3.945	na	80
80	EZ5Tnoac	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_5	poor	5	Acid	17.7	20	17.4	7.1	7.7	7.1	9.7	16	16.9	79	88	92	 31.5   	 74.5   	 9.7   	 21.7   	0.1716	0.14	0.13	30.1	27.8	26.9	22.0	83.6	2256	3.4230	3.686	3.4230	3.917	na	80
81	AY30Anono	A	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_3	rich	30	Control	17.6	15.7	16.4	13.5	18.5	12.6	12.2	14.6	16.5	88.5	102	118	 31.5   	 76.0   	 9.7   	 34.5   	1.2818	1.15	1.46	183.6	170.4	196.0	22.0	112.4	911	3.4230	3.572	3.4230	3.687	na	80
82	AY30Tnono	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_3	rich	30	Control	19.8	20.7	19.8	12.6	12.9	12.2	16.8	20.7	23.9	78	105	116	 31.5   	 108.6   	 9.7   	 32.5   	0.1862	0.14	0.15	37.0	30.1	25.2	22.0	128.4	1132	3.4230	3.576	3.4230	4.053	na	80
83	BY30Anono	B	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_3	rich	30	Control	19.4	20	19.4	11.9	12.6	6.5	10.6	12.3	16.1	85.5	112	122	 9.7   	 60.1   	 9.7   	 33.6   	0.5007	0.57	0.76	93.1	106.3	140.3	22.0	107.4	1463	3.4230	3.746	3.4230	3.624	na	80
84	BY30Tnono	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_3	rich	30	Control	21.7	23.9	28.1	14	15.6	14.2	12.3	16.6	21	72	104	110	 9.7   	 58.7   	 9.7   	 25.2   	0.2025	0.20	0.16	35.7	38.2	31.7	22.0	92.6	712	3.4230	3.500	3.4230	3.861	na	80
85	CY30Anono	C	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_3	rich	30	Control	17.5	23.9	20.1	14.8	17.8	17.9	11.2	14.2	16.6	100.5	116	129	 9.7   	 58.5   	 9.7   	 34.3   	0.6729	0.34	0.97	115.0	62.9	164.9	22.0	104.6	719	3.4230	3.665	3.4230	3.578	na	80
86	CY30Tnono	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_3	rich	30	Control	30.5	23	24.3	12.4	10.2	16	15.9	19	22	87	147	166	 9.7   	 94.6   	 9.7   	 30.5   	0.2236	0.22	0.19	50.9	46.6	37.3	22.0	105.2	1731	3.4230	3.645	3.4230	3.580	na	80
87	DY30Anono	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_3	rich	30	Control	27.2	28.9	20.7	12.1	12.3	16.4	13.4	20.8	21	78.5	107	134	 9.7   	 63.2   	 9.7   	 32.9   	0.6466	0.64	0.34	117.2	111.2	62.9	22.0	114.8	508	3.4230	3.553	3.4230	3.514	na	80
88	DY30Tnono	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_3	rich	30	Control	18.2	22.8	21.7	11	8	10.4	15.9	20.2	23.2	82	123	127	 9.7   	 77.6   	 9.7   	 33.5   	0.2345	0.21	0.19	41.0	40.1	37.5	22.0	134.4	351	3.4230	3.485	3.4230	3.551	na	80
89	EY30Anono	E	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_3	rich	30	Control	25.7	24.3	23.7	11.4	16.2	11.7	13.8	16.6	18.3	81	121	126	 9.7   	 60.4   	 9.7   	 40.2   	0.6028	0.69	0.41	97.2	108.9	66.6	22.0	158.8	1436	3.4230	3.816	3.4230	3.691	na	80
90	EY30Tnono	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_3	rich	30	Control	25.4	23.9	22.6	13.8	14.8	13.8	13.9	21.6	24	97	107	110	 9.7   	 84.7   	 9.7   	 30.0   	0.1396	0.15	0.14	28.7	28.6	26.2	22.0	114.2	384	3.4230	3.454	3.4230	3.835	na	80
91	AZ30Anono	A	2019-03-20	2019-09-20	2020-06-29	1	Acer	Control	substrate_6	poor	30	Control	16	15.3	12.2	10.6	7.6	6	7.8	8.7	8.7	96	100	105	 22.2   	 46.1   	 9.7   	 16.4   	0.6093	0.63	0.55	107.3	110.0	98.9	22.0	54.6	672	3.4230	3.576	3.4230	3.743	na	80
92	AZ30Tnono	A	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_6	poor	30	Control	20.6	19.3	22.4	6.7	10.3	7.8	10.4	17.2	20.2	86	72	80	 31.5   	 68.1   	 9.7   	 18.2   	0.0922	0.09	0.09	19.3	20.2	17.7	22.0	67.2	921	3.4230	3.529	3.4230	3.821	na	80
93	BZ30Anono	B	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_6	poor	30	Control	13.5	12.3	16.7	5.6	5.5	7.5	16.9	17.6	21.5	83.5	109	111	 9.7   	 69.7   	 9.7   	 43.1   	0.5263	0.36	0.58	75.5	52.2	79.6	22.0	178.8	998	3.4230	3.717	3.4230	3.660	balls_prob	80
94	BZ30Tnono	B	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_6	poor	30	Control	14.4	14.5	15	3.2	1.4	5.5	17.9	25.3	26.9	94	100	103	 9.7   	 101.0   	 9.7   	 34.2   	0.2120	0.21	0.14	39.2	36.8	28.5	22.0	176.6	1033	3.4230	3.620	3.4230	4.021	na	80
95	CZ30Anono	C	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_6	poor	30	Control	17.9	16.8	20.7	3.5	8.7	9.8	12.2	17.2	18.7	90	113	121	 9.7   	 68.1   	 9.7   	 37.0   	0.5740	0.50	0.47	82.5	73.8	67.7	22.0	133.2	1690	3.4230	3.784	3.4230	3.649	turbid	80
96	CZ30Tnono	C	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_6	poor	30	Control	17.4	18.8	14.8	5.8	8.4	10	13.2	19.5	20.9	91	93	106	 9.7   	 66.4   	 9.7   	 24.6   	0.1817	0.15	0.14	34.7	30.1	27.8	22.0	99.6	1513	3.4230	3.601	3.4230	3.742	na	80
97	DZ30Anono	D	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_6	poor	30	Control	14.7	18.9	21.4	8.4	8.4	7.9	12.5	15.2	18.5	90.5	96	99	 9.7   	 46.8   	 9.7   	 28.0   	0.4618	0.43	0.47	76.7	74.6	76.2	22.0	136.0	1037	3.4230	3.673	3.4230	3.763	na	80
98	DZ30Tnono	D	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_6	poor	30	Control	21.3	18.9	16.5	10.1	7.4	11.7	14	18.2	20.9	80	77	88	 9.7   	 75.6   	 9.7   	 23.0   	0.2093	0.21	0.14	41.1	37.8	27.8	22.0	110.0	1201	3.4230	3.528	3.4230	3.833	na	80
99	EZ30Anono	E	2019-03-20	2019-09-20	2020-06-29	0	Acer	Control	substrate_6	poor	30	Control	17.3	16.9	19.9	3.1	4.6	7.2	18.3	22.3	24.2	94.5	118	124	 9.7   	 95.8   	 9.7   	 44.0   	0.4637	0.52	0.51	73.4	85.1	78.8	22.0	186.4	1544	3.4230	3.823	3.4230	4.020	na	80
100	EZ30Tnono	E	2019-03-20	2019-09-20	2020-06-29	0	Tilia	Control	substrate_6	poor	30	Control	18.5	21.1	22.7	9.8	9.5	13.6	12.6	17.1	18.2	64	66	67	 9.7   	 44.2   	 9.7   	 18.8   	0.1207	0.09	0.08	23.0	19.6	16.5	22.0	75.8	683	3.4230	3.605	3.4230	3.883	na	80
